original_url,original_sign_no,normalized_sign_no,issues
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/gm9-89d-no-lines-do-not-overtake-mms-insert-to-be-used,GM9-89(D),GM9-89[D],Sign code normalized: 'GM9-89(D)' -> 'GM9-89[D]'|Normalized AS1742 reference: 'AS1742.3 Traffic Control for Works on Roads' -> 'AS1742.3 (Traffic Control for Works on Roads)'|Image filename mismatch: 'gm9-89_d_thumb.gif' vs normalized 'GM9-89[D]'|PDF filename mismatch: 'gm9-89_d.pdf' vs normalized 'GM9-89[D]'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/r9-10-1-mass-restriction-vehicles-over-xt-gvm,r9-10-1,R9-10-1,Sign code normalized: 'r9-10-1' -> 'R9-10-1'|Null standardized: '&nbsp;' -> 'NA'|Normalized AS1742 reference: 'AS1742.2 (Devices)' -> 'AS1742.2 (Traffic Control Devices)'|Image filename mismatch: 'r9-10-1_0.gif' vs normalized 'R9-10-1'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/r9-10-2-mass-restriction-over-xt-gvm,r9-10-2,R9-10-2,Sign code normalized: 'r9-10-2' -> 'R9-10-2'|Null standardized: '&nbsp;' -> 'NA'|Normalized AS1742 reference: 'AS1742.2 (Devices)' -> 'AS1742.2 (Traffic Control Devices)'|Image filename mismatch: 'r9-10-2_0.gif' vs normalized 'R9-10-2'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/r9-11-1-size-restriction-vehicles-over-xm-long,r9-11-1,R9-11-1,Sign code normalized: 'r9-11-1' -> 'R9-11-1'|Null standardized: '&nbsp;' -> 'NA'|Normalized AS1742 reference: 'AS1742.2 (Devices)' -> 'AS1742.2 (Traffic Control Devices)'|Image filename mismatch: 'r9-11-1_0.gif' vs normalized 'R9-11-1'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/r9-11-2-size-restriction-over-xm-long,r9-11-2,R9-11-2,Sign code normalized: 'r9-11-2' -> 'R9-11-2'|Null standardized: '&nbsp;' -> 'NA'|Normalized AS1742 reference: 'AS1742.2 (Devices)' -> 'AS1742.2 (Traffic Control Devices)'|Image filename mismatch: 'r9-11-2_1.gif' vs normalized 'R9-11-2'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/r9-12-1-size-restriction-vehicles-over-xm-high,r9-12-1,R9-12-1,Sign code normalized: 'r9-12-1' -> 'R9-12-1'|Null standardized: '&nbsp;' -> 'NA'|Normalized AS1742 reference: 'AS1742.2 (Devices)' -> 'AS1742.2 (Traffic Control Devices)'|Image filename mismatch: 'r9-12-1_0.gif' vs normalized 'R9-12-1'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/r9-12-2-size-limit-over-xm-high,r9-12-2,R9-12-2,Sign code normalized: 'r9-12-2' -> 'R9-12-2'|Null standardized: '&nbsp;' -> 'NA'|Normalized AS1742 reference: 'AS1742.2 (Devices)' -> 'AS1742.2 (Traffic Control Devices)'|Image filename mismatch: 'r9-12-2_1.gif' vs normalized 'R9-12-2'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/r9-13-1-size-restriction-vehicles-over-xm-wide,r9-13-1,R9-13-1,Sign code normalized: 'r9-13-1' -> 'R9-13-1'|Null standardized: '&nbsp;' -> 'NA'|Normalized AS1742 reference: 'AS1742.2 (Devices)' -> 'AS1742.2 (Traffic Control Devices)'|Image filename mismatch: 'r9-13-1_0.gif' vs normalized 'R9-13-1'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/rm2-11na-two-way-symbolic-mms-insert-to-be-used-on,RM2-11n(A),RM2-11n[A],Sign code normalized: 'RM2-11n(A)' -> 'RM2-11n[A]'|Normalized AS1742 reference: 'AS1742.3 Traffic Control for Works on Roads' -> 'AS1742.3 (Traffic Control for Works on Roads)'|Image filename mismatch: 'rm2-11_a_thumb.gif' vs normalized 'RM2-11n[A]'|PDF filename mismatch: 'rm2-11_a.pdf' vs normalized 'RM2-11n[A]'
https://www.transport.nsw.gov.au/operations/roads-and-waterways/traffic-signs/rm2-11nb-two-way-symbolic-mms-insert-to-be-used-on,RM2-11n(B)&nbsp;,RM2-11n[B],Sign code normalized: 'RM2-11n(B)&nbsp;' -> 'RM2-11n[B]'|Normalized AS1742 reference: 'AS1742.3 Traffic Control for Works on Roads' -> 'AS1742.3 (Traffic Control for Works on Roads)'|Image filename mismatch: 'rm2-11_b_thumb.gif' vs normalized 'RM2-11n[B]'|PDF filename mismatch: 'rm2-11_b.pdf' vs normalized 'RM2-11n[B]'
